text,category
drain ka pani ghar ke entrance tak aa raha,sanitation
manhole cover crack ho gaya kabhi bhi toot sakta,sanitation
sewer line choke ho gayi lagta hai,sanitation
footpath ke paas open drain unsafe hai,sanitation
gutter ka pani stagnant ho gaya hai,sanitation
drain cleaning months se nahi hui,sanitation
storm water drain block ho gaya,sanitation
public toilet me water supply bhi nahi aur gandagi bhi,sanitation
drain cover missing hai bachche gir sakte,sanitation
bad hygiene condition near market area,sanitation
sewage smell unbearable ho gaya,sanitation
naali ka pani road pe mix ho raha,sanitation
blockage ke wajah se backflow ho raha,sanitation
drain me plastic jam ho gaya,sanitation
overflowing sewer near school unsafe hai,sanitation
public urinal ki cleaning nahi hoti regularly,sanitation
drain water stagnant rehta mosquito badh rahe,sanitation
heavy rain me sewer reverse flow karta,sanitation
manhole ka lid hil raha stable nahi,sanitation
drain side walls broken hai,sanitation
sewage leakage visible hai footpath pe,sanitation
gutter ka pani black ho ke flow ho raha,sanitation
sanitation staff visit nahi kar rahe regularly,sanitation
