text,category
Light not working near temple,streetlight
Streetlight off in rainy season,streetlight
Light pole broken at base,streetlight
Streetlight near school gate off,streetlight
Streetlight causing darkness,streetlight
Streetlight needs repair,streetlight
Streetlight broken for weeks,streetlight
Streetlight not functional,streetlight
No light near footpath,streetlight
Streetlight problem unresolved,streetlight
Streetlight issue frequent,streetlight
Light not coming from pole,streetlight
Streetlight off since long time,streetlight
Streetlight broken near shop,streetlight
Light issue every night,streetlight
Streetlight cable cut,streetlight
Streetlight issue daily,streetlight
Streetlight not replaced,streetlight

Drainage overflowing on road,sanitation
Public toilet very dirty,sanitation
Sewer line blocked,sanitation
Bad smell from drainage,sanitation
Open drain near houses,sanitation
Sewer water on road,sanitation
Toilet near market unusable,sanitation
Drain cleaning not done,sanitation
Sewer water entering homes,sanitation
Drainage issue causing mosquitoes,sanitation
Manhole cover missing,sanitation
Drain overflow after rain,sanitation
Toilet locked always,sanitation
Drain blocked with waste,sanitation
Sewer problem since days,sanitation
Drainage smell unbearable,sanitation
Public toilet broken,sanitation
Drain water stagnated,sanitation
Sewer line damaged,sanitation
Drain overflow daily,sanitation
Drainage problem reported earlier,sanitation
Toilet not cleaned regularly,sanitation
Open sewer causing danger,sanitation
Drain clogged near road,sanitation
Sewer backup in house,sanitation
Drain water flowing on street,sanitation
Public toilet lacks water,sanitation
Drain broken near school,sanitation
Sewer water near shops,sanitation
Drain not covered properly,sanitation
Drain cleaning delayed,sanitation
Toilet dirty and smelling,sanitation
Sewer overflow near park,sanitation
Drainage issue unresolved,sanitation
Open manhole causing risk,sanitation
Drain blocked after rain,sanitation
Toilet maintenance poor,sanitation
Drain filled with garbage,sanitation
Sewer smell everywhere,sanitation
Drain overflow near hospital,sanitation
Public toilet unusable,sanitation
Drain water entering shops,sanitation
Sewer line leaking,sanitation
Drain blocked near society,sanitation
Public toilet broken door,sanitation
Drainage water stagnant,sanitation
Drain overflow after cleaning,sanitation
Sewer water problem daily,sanitation
Drain cleaning required,sanitation
Sanitation issue since weeks,sanitation
